date,ffpi_food,ffpi_cereals,ffpi_veg_oils,ffpi_dairy,ffpi_meat,ffpi_sugar,unit,base_period,source,source_url,retrieved_utc
2014-03-01,122.1,125.4,125.38,154.8,106.3,110.8,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2014-04-01,121.5,125.5,121.53,147.3,109.7,109,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2014-05-01,121.2,125.2,119.18,141.8,111.7,113.1,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2014-06-01,119.2,118.7,115.22,136.1,116,112.5,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2014-07-01,116.3,112.2,110.63,130.2,117.4,113,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2014-08-01,112.8,110.4,101.65,120.6,118.5,106.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2014-09-01,109.2,107.4,98.55,110.8,117.5,99.5,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2014-10-01,109.3,108.2,100.09,107.1,117.1,103.6,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2014-11-01,108.1,109.3,100.85,102.6,114.8,100.2,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2014-12-01,105.2,110.9,97.89,98.5,108.9,94.8,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-01-01,101,105.9,95,92.4,104.6,95,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
2015-02-01,98.7,101.6,95.18,95.2,101.3,90.3,Index (2014-2016=100),2014-2016,FAO World Food Situation - Food Price Index,https://www.fao.org/media/docs/worldfoodsituationlibraries/default-document-library/food_price_indices_data_nov648f200b2116421eb8317da42afb0149.csv?sfvrsn=523ebd2a_59&download=true,2025-11-11 16:03:42 UTC
